Markets,Product Segment,MANUFACTURER,MPACK,NRMSIZE,BRAND,ITEM,UPC,VARIANT,Facts,Dec 23 - w/e 31/12/23,Jan 24 - w/e 31/01/24,Feb 24 - w/e 29/02/24,Mar 24 - w/e 31/03/24,Apr 24 - w/e 30/04/24,May 24 - w/e 31/05/24,Jun 24 - w/e 30/06/24,Jul 24 - w/e 31/07/24,Aug 24 - w/e 31/08/24,Sep 24 - w/e 30/09/24,Oct 24 - w/e 31/10/24,Nov 24 - w/e 30/11/24,MAT Nov'24
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,156GM,CADBURY,CADBURY DAIRY MILK CRUNCHY MELT CHOCO OOKIES 156GM,7622201732509,CHOCOLATE,Sales Value,,,,,,,,,,,,"1,899.97","1,899.97"
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,156GM,CADBURY,CADBURY DAIRY MILK CRUNCHY MELT CHOCO OOKIES 156GM,7622201732509,CHOCOLATE,Sales (KG/LIT/000'U),,,,,,,,,,,,22.98,22.98
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,156GM,CADBURY,CADBURY DAIRY MILK CRUNCHY MELT CHOCO OOKIES 156GM,7622201732509,CHOCOLATE,Sales Units,,,,,,,,,,,,147.29,147.29
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,156GM,CADBURY,CADBURY DAIRY MILK CRUNCHY MELT CHOCO OOKIES 156GM,7622201732509,CHOCOLATE,Price per Sales (KG/LIT/000'U),,,,,,,,,,,,82.69,82.69
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,156GM,CADBURY,CADBURY DAIRY MILK CRUNCHY MELT CHOCO OOKIES 156GM,7622201732509,CHOCOLATE,Numeric Distribution Selling (C),,,,,,,,,,,,0.00,0.00
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,156GM,CADBURY,CADBURY DAIRY MILK CRUNCHY MELT CHOCO OOKIES 156GM,7622201732509,CHOCOLATE,Weighted Distribution - Reach - Product Segment,,,,,,,,,,,,0.52,0.55
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,156GM,CADBURY,CADBURY DOUBLE CHOCOLATE COOKIES 156G,9300617061380,DOUBLE CHOCOLATE,Sales Value,,,,,,,640.70,"2,228.63","2,181.75","1,302.50","1,059.16",501.29,"7,914.03"
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,156GM,CADBURY,CADBURY DOUBLE CHOCOLATE COOKIES 156G,9300617061380,DOUBLE CHOCOLATE,Sales (KG/LIT/000'U),,,,,,,6.71,23.33,22.91,13.95,12.93,9.47,89.30
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,156GM,CADBURY,CADBURY DOUBLE CHOCOLATE COOKIES 156G,9300617061380,DOUBLE CHOCOLATE,Sales Units,,,,,,,43.00,149.57,146.86,89.43,82.86,60.72,572.43
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,156GM,CADBURY,CADBURY DOUBLE CHOCOLATE COOKIES 156G,9300617061380,DOUBLE CHOCOLATE,Price per Sales (KG/LIT/000'U),,,,,,,95.51,95.51,95.24,93.36,81.95,52.93,88.62
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,156GM,CADBURY,CADBURY DOUBLE CHOCOLATE COOKIES 156G,9300617061380,DOUBLE CHOCOLATE,Numeric Distribution Selling (C),,,,,,,0.02,0.04,0.04,0.03,0.03,0.02,0.04
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,156GM,CADBURY,CADBURY DOUBLE CHOCOLATE COOKIES 156G,9300617061380,DOUBLE CHOCOLATE,Weighted Distribution - Reach - Product Segment,,,,,,,1.18,1.93,1.84,1.50,1.17,0.81,2.12
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,167GM,CADBURY,CADBURY DAIRY MILK FREDDO CHOC BISCUIT 167GM,7622210295767,MILK,Sales Value,"1,025.47",521.39,376.38,260.10,709.75,51.85,,549.10,297.50,187.01,115.60,40.80,"4,134.94"
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,167GM,CADBURY,CADBURY DAIRY MILK FREDDO CHOC BISCUIT 167GM,7622210295767,MILK,Sales (KG/LIT/000'U),14.744,9.137,9.42,3.65,18.01,1.36,,7.71,4.18,2.62,1.62,0.57,73.03
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,167GM,CADBURY,CADBURY DAIRY MILK FREDDO CHOC BISCUIT 167GM,7622210295767,MILK,Sales Units,88.286,54.714,56.43,21.86,107.86,8.14,,46.14,25.00,15.72,9.71,3.43,437.29
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,167GM,CADBURY,CADBURY DAIRY MILK FREDDO CHOC BISCUIT 167GM,7622210295767,MILK,Price per Sales (KG/LIT/000'U),69.552,57.064,39.94,71.26,39.40,38.13,,71.26,71.26,71.27,71.27,71.20,56.62
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,167GM,CADBURY,CADBURY DAIRY MILK FREDDO CHOC BISCUIT 167GM,7622210295767,MILK,Numeric Distribution Selling (C),0.015,0.014,0.01,0.01,0.01,0.00,,0.01,0.01,0.01,0.00,0.00,0.02
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,167GM,CADBURY,CADBURY DAIRY MILK FREDDO CHOC BISCUIT 167GM,7622210295767,MILK,Weighted Distribution - Reach - Product Segment,1.35,0.894,0.74,0.67,0.56,0.22,,0.30,0.28,0.27,0.12,0.11,1.16
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,189GM,CADBURY,CADBURY DAIRY MILK FINGERS MILK CHOCOLATE BISCUITS 189GM,7622201450366,CHOCOLATE,Sales Value,,,,,61.28,"5,675.28","19,684.49","10,281.89","18,141.19","14,358.87","3,208.98",16.72,"71,428.70"
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,189GM,CADBURY,CADBURY DAIRY MILK FINGERS MILK CHOCOLATE BISCUITS 189GM,7622201450366,CHOCOLATE,Sales (KG/LIT/000'U),,,,,0.59,55.20,191.79,112.89,235.13,178.24,47.88,0.16,821.89
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,189GM,CADBURY,CADBURY DAIRY MILK FINGERS MILK CHOCOLATE BISCUITS 189GM,7622201450366,CHOCOLATE,Sales Units,,,,,3.14,292.04,"1,014.76",597.31,"1,244.07",943.07,253.35,0.86,"4,348.60"
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,189GM,CADBURY,CADBURY DAIRY MILK FINGERS MILK CHOCOLATE BISCUITS 189GM,7622201450366,CHOCOLATE,Price per Sales (KG/LIT/000'U),,,,,103.17,102.821,102.636,91.08,77.15,80.56,67.02,103.18,86.91
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,189GM,CADBURY,CADBURY DAIRY MILK FINGERS MILK CHOCOLATE BISCUITS 189GM,7622201450366,CHOCOLATE,Numeric Distribution Selling (C),,,,,0.002,0.031,0.056,0.06,0.06,0.06,0.03,0.00,0.06
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,189GM,CADBURY,CADBURY DAIRY MILK FINGERS MILK CHOCOLATE BISCUITS 189GM,7622201450366,CHOCOLATE,Weighted Distribution - Reach - Product Segment,,,,,0.32,3.337,4.26,4.39,4.18,4.12,1.90,0.09,4.40
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,260GM,CADBURY,CADBURY CHOCO SANDWICH 260G,7622210830883,CHOCOLATE,Sales Value,"7,137.30","6,326.79","5,319.03","6,119.41","20,477.52","17,179.89","20,195.77","23,480.26","16,134.94","6,544.42","1,906.16","4,876.01","135,697.49"
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,260GM,CADBURY,CADBURY CHOCO SANDWICH 260G,7622210830883,CHOCOLATE,Sales (KG/LIT/000'U),149.13,140.77,140.23,128.29,515.54,376.38,420.45,578.18,393.51,159.53,50.08,97.52,"3,149.61"
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,260GM,CADBURY,CADBURY CHOCO SANDWICH 260G,7622210830883,CHOCOLATE,Sales Units,573.584,541.404,539.33,493.43,"1,982.86","1,447.61","1,617.12","2,223.78","1,513.49",613.58,192.61,375.07,"12,113.87"
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,260GM,CADBURY,CADBURY CHOCO SANDWICH 260G,7622210830883,CHOCOLATE,Price per Sales (KG/LIT/000'U),47.859,44.946,37.932,47.699,39.72,45.645,48.033,40.61,41.00,41.02,38.06,50.00,43.08
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,260GM,CADBURY,CADBURY CHOCO SANDWICH 260G,7622210830883,CHOCOLATE,Numeric Distribution Selling (C),0.082,0.086,0.083,0.048,0.106,0.108,0.087,0.10,0.12,0.08,0.04,0.08,0.19
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,260GM,CADBURY,CADBURY CHOCO SANDWICH 260G,7622210830883,CHOCOLATE,Weighted Distribution - Reach - Product Segment,4.398,4.039,3.85,2.76,6.58,7.30,5.71,6.58,7.43,4.94,2.67,3.53,10.96
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,29GM,CADBURY,CADBURY FINGERS COATED MILK CHOC BISCUIT 29GM,9556182023197,CHOCOLATE,Sales Value,,,,,,2.00,65.60,85.03,91.66,96.69,147.03,84.46,572.46
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,29GM,CADBURY,CADBURY FINGERS COATED MILK CHOC BISCUIT 29GM,9556182023197,CHOCOLATE,Sales (KG/LIT/000'U),,,,,,0.15,4.76,6.17,6.65,7.01,10.66,6.12,41.50
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,29GM,CADBURY,CADBURY FINGERS COATED MILK CHOC BISCUIT 29GM,9556182023197,CHOCOLATE,Sales Units,,,,,,5.00,164.00,212.57,229.14,241.72,367.56,211.14,"1,431.14"
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,29GM,CADBURY,CADBURY FINGERS COATED MILK CHOC BISCUIT 29GM,9556182023197,CHOCOLATE,Price per Sales (KG/LIT/000'U),,,,,,13.79,13.79,13.79,13.79,13.79,13.79,13.79,13.79
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,29GM,CADBURY,CADBURY FINGERS COATED MILK CHOC BISCUIT 29GM,9556182023197,CHOCOLATE,Numeric Distribution Selling (C),,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,29GM,CADBURY,CADBURY FINGERS COATED MILK CHOC BISCUIT 29GM,9556182023197,CHOCOLATE,Weighted Distribution - Reach - Product Segment,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,30GM,CADBURY,CADBURY MEDIUM BARS FLAKE 30GM,0000093617406,CHOCOLATE,Sales Value,553.87,841.59,543.32,863.49,"1,060.58",898.95,"1,427.67","1,549.70","1,640.34",843.10,580.87,499.26,"11,302.73"
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,30GM,CADBURY,CADBURY MEDIUM BARS FLAKE 30GM,0000093617406,CHOCOLATE,Sales (KG/LIT/000'U),2.32,3.46,2.23,3.55,4.36,3.69,5.87,6.37,10.06,6.94,2.39,3.93,55.17
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,30GM,CADBURY,CADBURY MEDIUM BARS FLAKE 30GM,0000093617406,CHOCOLATE,Sales Units,77.43,115.29,74.43,118.29,145.29,123.14,195.57,212.29,335.28,231.29,79.57,131.14,"1,839.00"
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,30GM,CADBURY,CADBURY MEDIUM BARS FLAKE 30GM,0000093617406,CHOCOLATE,Price per Sales (KG/LIT/000'U),238.43,243.306,243.31,243.31,243.31,243.35,243.34,243.32,163.09,121.50,243.35,126.91,204.87
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,30GM,CADBURY,CADBURY MEDIUM BARS FLAKE 30GM,0000093617406,CHOCOLATE,Numeric Distribution Selling (C),0.002,0.002,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.01
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,30GM,CADBURY,CADBURY MEDIUM BARS FLAKE 30GM,0000093617406,CHOCOLATE,Weighted Distribution - Reach - Product Segment,0.341,0.26,0.371,0.409,0.453,0.449,0.547,0.61,0.62,0.43,0.23,0.21,0.57
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,50GM,CADBURY,CADBURY COOKIES 50G,7622202037634,NONE,Sales Value,"48,366.98","43,014.06","50,636.50","70,087.92","102,476.22","113,151.91","104,911.64","124,569.23","136,564.41","123,763.11","113,596.68","103,271.62","1,134,410.28"
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,50GM,CADBURY,CADBURY COOKIES 50G,7622202037634,NONE,Sales (KG/LIT/000'U),546.34,601.87,616.69,882.77,"1,319.97","1,399.13","1,340.64","1,568.28","1,712.99","1,557.72","1,432.53","1,368.52","14,347.43"
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,50GM,CADBURY,CADBURY COOKIES 50G,7622202037634,NONE,Sales Units,"10,926.80","12,037.30","12,333.71","17,655.32","26,399.49","27,982.66","26,812.81","31,365.52","34,259.75","31,154.31","28,650.50","27,370.42","286,948.59"
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,50GM,CADBURY,CADBURY COOKIES 50G,7622202037634,NONE,Price per Sales (KG/LIT/000'U),88.529,71.468,82.11,79.40,77.64,80.87,78.26,79.43,79.72,79.45,79.30,75.46,79.07
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,50GM,CADBURY,CADBURY COOKIES 50G,7622202037634,NONE,Numeric Distribution Selling (C),2.292,2.705,3.04,4.10,4.97,5.67,5.89,6.19,5.74,5.44,4.90,4.51,8.53
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,50GM,CADBURY,CADBURY COOKIES 50G,7622202037634,NONE,Weighted Distribution - Reach - Product Segment,2.383,2.206,3.00,4.23,5.41,5.85,10.48,11.23,11.10,10.95,10.84,10.63,14.34
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,90GM,CADBURY,CADBURY FESTIVE FRIENDS 90GM,0072417161797,NONE,Sales Value,"13,491.89",670.80,197.61,38.31,,,,,,,,,"14,398.61"
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,90GM,CADBURY,CADBURY FESTIVE FRIENDS 90GM,0072417161797,NONE,Sales (KG/LIT/000'U),97.294,5.03,3.07,0.80,,,,,,,,,106.19
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,90GM,CADBURY,CADBURY FESTIVE FRIENDS 90GM,0072417161797,NONE,Sales Units,"1,081.04",55.88,34,9,,,,,,,,,"1,179.92"
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,90GM,CADBURY,CADBURY FESTIVE FRIENDS 90GM,0072417161797,NONE,Price per Sales (KG/LIT/000'U),138.671,133.386,64.30,48.07,,,,,,,,,135.59
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,90GM,CADBURY,CADBURY FESTIVE FRIENDS 90GM,0072417161797,NONE,Numeric Distribution Selling (C),0.079,0.018,0.01,0.00,,,,,,,,,0.06
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,90GM,CADBURY,CADBURY FESTIVE FRIENDS 90GM,0072417161797,NONE,Weighted Distribution - Reach - Product Segment,4.881,2.143,0.70,0.27,,,,,,,,,4.45
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,94.8GM,CADBURY,CADBURY WISPA BISCUIT 94.8G,7622201714178,CHOCOLATE,Sales Value,690.21,175.10,134.30,202.30,102.00,68.00,79.90,,,,,,"1,451.81"
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,94.8GM,CADBURY,CADBURY WISPA BISCUIT 94.8G,7622201714178,CHOCOLATE,Sales (KG/LIT/000'U),5.498,1.395,1.07,1.61,0.81,0.54,0.64,,,,,,11.57
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,94.8GM,CADBURY,CADBURY WISPA BISCUIT 94.8G,7622201714178,CHOCOLATE,Sales Units,58,14.714,11.285,17.00,8.57,5.71,6.71,,,,,,122.00
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,94.8GM,CADBURY,CADBURY WISPA BISCUIT 94.8G,7622201714178,CHOCOLATE,Price per Sales (KG/LIT/000'U),125.537,125.52,125.51,125.50,125.46,125.46,125.43,,,,,,125.52
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,94.8GM,CADBURY,CADBURY WISPA BISCUIT 94.8G,7622201714178,CHOCOLATE,Numeric Distribution Selling (C),0.005,0.005,0.00,0.00,0.00,0.00,0.00,,,,,,0.01
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,94.8GM,CADBURY,CADBURY WISPA BISCUIT 94.8G,7622201714178,CHOCOLATE,Weighted Distribution - Reach - Product Segment,0.715,0.643,0.36,0.504,0.44,0.345,0.33,,,,,,0.70
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X108,25GM,CADBURY,CADBURY COOKIES 18SX6SX25G,8934680015301,NONE,Sales Value,250.20,,125.10,,122.40,,122.40,122.40,122.40,122.40,,,987.30
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X108,25GM,CADBURY,CADBURY COOKIES 18SX6SX25G,8934680015301,NONE,Sales (KG/LIT/000'U),5.40,,2.70,,2.70,,2.70,2.70,2.70,2.70,,,21.60
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X108,25GM,CADBURY,CADBURY COOKIES 18SX6SX25G,8934680015301,NONE,Sales Units,2,,1.00,,1.00,,1.00,1.00,1.00,1.00,,,8.00
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X108,25GM,CADBURY,CADBURY COOKIES 18SX6SX25G,8934680015301,NONE,Price per Sales (KG/LIT/000'U),46.333,,46.33,,45.33,,45.33,45.33,45.33,45.33,,,45.71
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X108,25GM,CADBURY,CADBURY COOKIES 18SX6SX25G,8934680015301,NONE,Numeric Distribution Selling (C),0.002,,0.00,,0.00,,0.00,0.00,0.00,0.00,,,0.01
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X108,25GM,CADBURY,CADBURY COOKIES 18SX6SX25G,8934680015301,NONE,Weighted Distribution - Reach - Product Segment,0.022,,0.01,,0.01,,0.01,0.01,0.01,0.01,,,0.05
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X18,150GM,CADBURY,CADBURY COOKIE 18X150G,200200419668,CHOCOLATE,Sales Value,,,,,,,,,,94.96,"1,101.14",,"1,196.10"
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X18,150GM,CADBURY,CADBURY COOKIE 18X150G,200200419668,CHOCOLATE,Sales (KG/LIT/000'U),,,,,,,,,,1.93,22.37,,24.30
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X18,150GM,CADBURY,CADBURY COOKIE 18X150G,200200419668,CHOCOLATE,Sales Units,,,,,,,,,,0.72,8.29,,9.00
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X18,150GM,CADBURY,CADBURY COOKIE 18X150G,200200419668,CHOCOLATE,Price per Sales (KG/LIT/000'U),,,,,,,,,,49.23,49.22,,49.22
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X18,150GM,CADBURY,CADBURY COOKIE 18X150G,200200419668,CHOCOLATE,Numeric Distribution Selling (C),,,,,,,,,,0.00,0.00,,0.00
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X18,150GM,CADBURY,CADBURY COOKIE 18X150G,200200419668,CHOCOLATE,Weighted Distribution - Reach - Product Segment,,,,,,,,,,0.17,0.25,,0.16
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X5,19.3GM,CADBURY,CADBURY MINI FINGERS 5X19.3GM (96.5 G),7622202050763,CHOCOLATE,Sales Value,,,,,,,,,,,,233.56,233.56
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X5,19.3GM,CADBURY,CADBURY MINI FINGERS 5X19.3GM (96.5 G),7622202050763,CHOCOLATE,Sales (KG/LIT/000'U),,,,,,,,,,,,2.07,2.07
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X5,19.3GM,CADBURY,CADBURY MINI FINGERS 5X19.3GM (96.5 G),7622202050763,CHOCOLATE,Sales Units,,,,,,,,,,,,21.43,21.43
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X5,19.3GM,CADBURY,CADBURY MINI FINGERS 5X19.3GM (96.5 G),7622202050763,CHOCOLATE,Price per Sales (KG/LIT/000'U),,,,,,,,,,,,112.94,112.94
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X5,19.3GM,CADBURY,CADBURY MINI FINGERS 5X19.3GM (96.5 G),7622202050763,CHOCOLATE,Numeric Distribution Selling (C),,,,,,,,,,,,0.01,0.01
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X5,19.3GM,CADBURY,CADBURY MINI FINGERS 5X19.3GM (96.5 G),7622202050763,CHOCOLATE,Weighted Distribution - Reach - Product Segment,,,,,,,,,,,,0.42,0.40
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X6,22GM,CADBURY,CADBURY FESTIVE ANIMALS 6PK 132GM (6SX22GM),7622202241062,CHOCOLATE,Sales Value,,,,,,,,,,,,488.47,488.47
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X6,22GM,CADBURY,CADBURY FESTIVE ANIMALS 6PK 132GM (6SX22GM),7622202241062,CHOCOLATE,Sales (KG/LIT/000'U),,,,,,,,,,,,4.64,4.64
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X6,22GM,CADBURY,CADBURY FESTIVE ANIMALS 6PK 132GM (6SX22GM),7622202241062,CHOCOLATE,Sales Units,,,,,,,,,,,,35.14,35.14
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X6,22GM,CADBURY,CADBURY FESTIVE ANIMALS 6PK 132GM (6SX22GM),7622202241062,CHOCOLATE,Price per Sales (KG/LIT/000'U),,,,,,,,,,,,105.30,105.30
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X6,22GM,CADBURY,CADBURY FESTIVE ANIMALS 6PK 132GM (6SX22GM),7622202241062,CHOCOLATE,Numeric Distribution Selling (C),,,,,,,,,,,,0.01,0.01
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X6,22GM,CADBURY,CADBURY FESTIVE ANIMALS 6PK 132GM (6SX22GM),7622202241062,CHOCOLATE,Weighted Distribution - Reach - Product Segment,,,,,,,,,,,,0.71,0.67
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X7,19.9GM,CADBURY,CADBURY MINI ANIMALS 139.3G (19.9GM X 7),7622210737250,CHOCOLATE,Sales Value,"2,853.33","2,383.99","2,391.20","2,170.27","6,753.42","7,403.05","2,951.54","1,103.29",362.38,19.93,,,"28,392.40"
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X7,19.9GM,CADBURY,CADBURY MINI ANIMALS 139.3G (19.9GM X 7),7622210737250,CHOCOLATE,Sales (KG/LIT/000'U),33.07,29.98,31.72,27.14,90.64,101.99,34.69,10.05,3.28,0.18,,,362.75
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X7,19.9GM,CADBURY,CADBURY MINI ANIMALS 139.3G (19.9GM X 7),7622210737250,CHOCOLATE,Sales Units,237.432,215.203,227.71,194.86,650.71,732.15,249.00,72.14,23.57,1.29,,,"2,604.06"
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X7,19.9GM,CADBURY,CADBURY MINI ANIMALS 139.3G (19.9GM X 7),7622210737250,CHOCOLATE,Price per Sales (KG/LIT/000'U),86.271,79.525,75.39,79.954,74.505,72.587,85.096,109.78,110.38,111.34,,,78.27
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X7,19.9GM,CADBURY,CADBURY MINI ANIMALS 139.3G (19.9GM X 7),7622210737250,CHOCOLATE,Numeric Distribution Selling (C),0.027,0.073,0.04,0.032,0.04,0.142,0.121,0.06,0.03,0.00,,,0.26
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X7,19.9GM,CADBURY,CADBURY MINI ANIMALS 139.3G (19.9GM X 7),7622210737250,CHOCOLATE,Weighted Distribution - Reach - Product Segment,1.697,3.766,1.999,1.732,2.211,2.238,1.233,0.22,0.09,0.00,,,4.73
